1900,4.6
1901,3.1
1902,21.0
1903,5.2
1904,15.1
1905,25.3
1906,12.7
1907,1.9
1908,10.5
1909,27.2
1910,1.1
1911,19.7
1912,23.8
1913,8.0
1914,5.1
1915,5.9
1916,5.0
1917,12.7
1918,10.6
1919,3.2
1920,22.6
1921,6.8
1922,17.4
1923,26.7
1924,7.4
1925,11.4
1926,11.0
1927,14.2
1928,25.2
1929,1.6
1930,27.4
1931,10.9
1932,22.6
1933,25.6
1934,20.5
1935,28.1
1936,11.6
1937,25.9
1938,18.9
1939,23.9
1940,20.6
1941,9.4
1942,28.4
1943,5.4
1944,25.4
1945,24.5
1946,17.8
1947,20.3
1948,11.4
1949,7.0
1950,10.2
1951,29.2
1952,5.2
1953,20.2
1954,8.0
1955,30.0
1956,23.2
1957,22.0
1958,9.9
1959,19.3
1960,25.4
1961,27.1
1962,24.7
1963,14.6
1964,18.9
1965,29.1
1966,17.2
1967,24.5
1968,26.2
1969,11.9
1970,15.8
1971,6.8
1972,4.1
1973,26.7
1974,6.8
1975,11.4
1976,20.2
1977,26.0
1978,1.5
1979,18.6
1980,4.6
1981,3.1
1982,19.3
1983,26.9
1984,7.0
1985,24.2
1986,22.0
1987,14.4
1988,12.8
1989,21.1
1990,2.8
1991,3.7
1992,27.1
1993,21.0
1994,6.9
1995,13.4
1996,22.0
1997,15.6
1998,24.4
1999,12.4
2000,14.3
2001,6.2
2002,21.7
2003,17.4
2004,22.0
2005,18.1
2006,9.6
2007,9.3
2008,14.9
2009,9.0
2010,22.3
2011,22.5
2012,18.3
2013,23.7
2014,16.9
2015,27.1
2016,16.0
2017,24.1
2018,29.3
2019,23.8
2020,24.1
2021,7.1
2022,13.6
